,United States
2000-01-31,239725.77215308437
2000-02-29,240261.1155323607
2000-03-31,240912.56684895512
2000-04-30,242302.59890759937
2000-05-31,243887.07248061
2000-06-30,245591.45867595603
2000-07-31,247405.3504860268
2000-08-31,249341.02538257863
2000-09-30,251335.51027140452
2000-10-31,253314.27986273012
2000-11-30,255262.6896104309
2000-12-31,257190.7119137901
2001-01-31,258959.09840031507
2001-02-28,260594.79057411855
2001-03-31,262235.48817447544
2001-04-30,264018.7922759301
2001-05-31,265870.83022911154
2001-06-30,267694.8831459607
2001-07-31,269525.60922190506
2001-08-31,271421.05755185965
2001-09-30,273335.3938348864
2001-10-31,275227.18698078766
2001-11-30,276981.29458343086
2001-12-31,278594.9220302249
2002-01-31,280041.052681828
2002-02-28,281464.691250359
2002-03-31,282980.90163281927
2002-04-30,284660.513772212
2002-05-31,286519.65503718803
2002-06-30,288549.7557070391
2002-07-31,290809.4865825488
2002-08-31,293247.462292466
2002-09-30,295740.6705416835
2002-10-31,298208.58691180934
2002-11-30,300575.7763162556
2002-12-31,302866.9125639619
2003-01-31,304971.2465735614
2003-02-28,307011.5349260858
2003-03-31,309118.1494994268
2003-04-30,311387.71904645354
2003-05-31,313829.8736355551
2003-06-30,316248.1896091668
2003-07-31,318767.1625054321
2003-08-31,321419.17453234264
2003-09-30,324266.11870178604
2003-10-31,327115.08437776106
2003-11-30,329816.20807373384
2003-12-31,332372.007449829
2004-01-31,334920.6377196373
2004-02-29,337661.0177705951
2004-03-31,340697.797439977
2004-04-30,344099.7563710822
2004-05-31,347971.7848394189
2004-06-30,352227.6579915881
2004-07-31,356740.9310356989
2004-08-31,361262.2923682373
2004-09-30,365733.51224754174
2004-10-31,370010.845008078
2004-11-30,373947.3643381128
2004-12-31,377759.0151031581
2005-01-31,381407.5670044656
2005-02-28,385195.0623421013
2005-03-31,389088.29685394256
2005-04-30,393479.9881765488
2005-05-31,398082.8085112823
2005-06-30,402807.8300161617
2005-07-31,407499.117951423
2005-08-31,412220.1472125684
2005-09-30,416896.466263801
2005-10-31,421341.1455672391
2005-11-30,425226.2404409035
2005-12-31,428673.1637474765
2006-01-31,431607.1930657409
2006-02-28,434330.41612688784
2006-03-31,437043.8352268529
2006-04-30,439819.5787048359
2006-05-31,442489.3895958163
2006-06-30,444674.01067289774
2006-07-31,446135.3704891442
2006-08-31,447031.5774858684
2006-09-30,447239.1716377384
2006-10-31,447135.2746909456
2006-11-30,446764.99341830326
2006-12-31,446336.83399302856
2007-01-31,445891.2011052946
2007-02-28,445503.0569593377
2007-03-31,445149.64018504624
2007-04-30,444753.72114326246
2007-05-31,443964.9185911456
2007-06-30,442703.9664929842
2007-07-31,440880.01964906295
2007-08-31,438879.1264831691
2007-09-30,436625.11554392806
2007-10-31,434245.97709179344
2007-11-30,431617.1469863053
2007-12-31,428868.32354663726
2008-01-31,425941.653167482
2008-02-29,422669.2914037842
2008-03-31,418987.362137128
2008-04-30,414925.6828899062
2008-05-31,410700.9576183124
2008-06-30,406438.2326351468
2008-07-31,402064.2582617917
2008-08-31,397514.078293764
2008-09-30,393035.0021150384
2008-10-31,388773.74331782624
2008-11-30,384608.1709041979
2008-12-31,380529.9606604509
2009-01-31,376568.83753298194
2009-02-28,373261.785964212
2009-03-31,370231.18624471634
2009-04-30,367375.0484542513
2009-05-31,364584.7006457527
2009-06-30,362029.8816329088
2009-07-31,359807.3228754856
2009-08-31,357721.17639882496
2009-09-30,355807.7083890157
2009-10-31,354287.4381317764
2009-11-30,353581.77091725945
2009-12-31,353475.21336567745
2010-01-31,353597.1544260815
2010-02-28,353593.427423979
2010-03-31,353694.4057327045
2010-04-30,354058.06523968023
2010-05-31,354340.66473082657
2010-06-30,354099.9375623164
2010-07-31,352980.55370943085
2010-08-31,351296.9515540877
2010-09-30,349244.3327124953
2010-10-31,347124.4334422701
2010-11-30,345002.75468778325
2010-12-31,343128.21725873754
2011-01-31,341470.70169954974
2011-02-28,340012.2869656517
2011-03-31,338572.7675620744
2011-04-30,337062.2271587748
2011-05-31,335333.7422893208
2011-06-30,333716.7569526964
2011-07-31,332302.7579581886
2011-08-31,331035.65638398164
2011-09-30,329778.3817441917
2011-10-31,328506.61791549
2011-11-30,327532.41017140733
2011-12-31,326735.9684398227
2012-01-31,326231.06853513065
2012-02-29,326037.75677688204
2012-03-31,326278.830319226
2012-04-30,326867.546956669
2012-05-31,327721.6043044872
2012-06-30,328849.9705975514
2012-07-31,330151.2606886644
2012-08-31,331594.3429318531
2012-09-30,333249.9759288927
2012-10-31,334992.44552261865
2012-11-30,336969.08570108097
2012-12-31,339069.8378079712
2013-01-31,341490.74272029434
2013-02-28,343868.8888376284
2013-03-31,346010.6695875798
2013-04-30,348189.2476872152
2013-05-31,350844.621272397
2013-06-30,354078.22661253926
2013-07-31,357279.190627808
2013-08-31,360352.54662023415
2013-09-30,363286.1258619801
2013-10-31,366321.1120334154
2013-11-30,368921.4011431046
2013-12-31,371131.0161453637
2014-01-31,373041.7895152535
2014-02-28,374956.214395382
2014-03-31,376932.1326137677
2014-04-30,378912.5660519672
2014-05-31,380892.5316983615
2014-06-30,382466.3397258481
2014-07-31,383743.94531312335
2014-08-31,384680.563093645
2014-09-30,385944.86259646266
2014-10-31,387146.3171543037
2014-11-30,388711.9794447569
2014-12-31,390238.0107726135
2015-01-31,392134.7594065501
2015-02-28,394040.16832313896
2015-03-31,395937.2326198453
2015-04-30,397482.64995737857
2015-05-31,399034.5775360736
2015-06-30,400410.9734780903
2015-07-31,401854.6129260866
2015-08-31,403342.24479142856
2015-09-30,405143.26703431207
2015-10-31,407090.8765029343
2015-11-30,408885.829904429
2015-12-31,410518.21814530966
2016-01-31,412485.27480013313
2016-02-29,414567.2185393309
2016-03-31,416301.23920107214
2016-04-30,417667.87951990735
2016-05-31,418806.7982945866
2016-06-30,420043.1044191417
2016-07-31,420910.3565657928
2016-08-31,421443.4298800712
2016-09-30,421788.8512379736
2016-10-31,422635.4483752011
2016-11-30,424140.8319656135
2016-12-31,426317.48639505246
2017-01-31,428745.6607817157
2017-02-28,431413.9548593986
2017-03-31,434064.67441818473
2017-04-30,436735.2194388754
2017-05-31,438857.2546973114
2017-06-30,440686.7151780469
2017-07-31,442017.5494401694
2017-08-31,443415.11313813226
2017-09-30,445030.2444696655
2017-10-31,446961.24267685926
2017-11-30,448945.1483551015
2017-12-31,451106.16281980585
2018-01-31,453417.2452207845
2018-02-28,455748.7434814643
